1d4dd2b5-2019-04-18T18:48:02Z-00003-000	32207 1
cb3acdd6-2019-04-18T16:57:26Z-00005-000	18069 4
2abd63f-2019-04-18T12:50:30Z-00004-000	15235 4
9e86b9a2-2019-04-18T14:52:22Z-00004-000	28031 6
b235f67a-2019-04-18T15:13:16Z-00004-000	14436 4
e3bc0428-2019-04-18T16:16:18Z-00001-000	27718 4
9860f93c-2019-04-17T11:47:22Z-00041-000	9253 10
ac5958c1-2019-04-18T15:34:27Z-00005-000	24729 2
575d7a7e-2019-04-18T16:34:27Z-00001-000	32236 9
886a5d30-2019-04-18T14:48:46Z-00002-000	14571 2
12fb1301-2019-04-18T18:48:52Z-00002-000	7026 1
28ad608b-2019-04-18T18:47:01Z-00000-000	4209 10
73691aa4-2019-04-18T18:49:53Z-00003-000	30506 5
133713bb-2019-04-18T19:02:54Z-00003-000	39326 1
cb3acdd6-2019-04-18T16:57:26Z-00003-000	18069 5
cd8abfbd-2019-04-18T17:04:37Z-00007-000	8542 6
2f9c8c00-2019-04-18T13:07:25Z-00001-000	42627 6
31f5da82-2019-04-17T11:47:27Z-00052-000	27258 53
31f5da82-2019-04-17T11:47:27Z-00021-000	27258 53
b567d75f-2019-04-18T12:56:12Z-00005-000	30430 1
b567d819-2019-04-18T12:55:25Z-00005-000	30430 1
b567d7db-2019-04-18T12:55:48Z-00005-000	30430 1
b0e4b003-2019-04-18T14:15:43Z-00004-000	31294 4
a8646f6a-2019-04-18T14:06:06Z-00001-000	19413 2
5ffcbc12-2019-04-18T14:32:16Z-00007-000	21222 1
5ffcbbf3-2019-04-18T14:33:01Z-00005-000	21222 1
1d4dd2b5-2019-04-18T18:48:02Z-00000-000	32207 4
f34bcbed-2019-04-18T14:27:46Z-00000-000	39756 5
e03e7a04-2019-04-18T14:42:05Z-00008-000	17472 1
e03e7a42-2019-04-18T14:35:21Z-00009-000	17472 1
91e50077-2019-04-18T15:53:42Z-00000-000	38290 4
b5e88b26-2019-04-18T16:29:20Z-00003-000	36432 8
2aef9f36-2019-04-15T20:22:21Z-00002-000	3343 3
157796c-2019-04-18T13:44:25Z-00007-000	43727 1
f44c0582-2019-04-18T16:41:31Z-00001-000	14152 1
195f22e7-2019-04-18T18:47:16Z-00006-000	14397 1
1284bea4-2019-04-18T18:47:40Z-00009-000	14397 1
86fcab18-2019-04-18T15:32:38Z-00005-000	21177 1
31f5da82-2019-04-17T11:47:27Z-00049-000	27258 50
1859bc5b-2019-04-18T17:43:35Z-00005-000	40644 3
fbfb1686-2019-04-18T16:33:24Z-00004-000	28563 4
9ca295b7-2019-04-15T20:22:35Z-00016-000	6158 17
691acc63-2019-04-15T20:23:01Z-00014-000	9307 15
ad6c57f8-2019-04-18T17:27:25Z-00004-000	33615 4
ca2aacb0-2019-04-18T19:03:17Z-00004-000	20073 1
70b2b740-2019-04-15T20:22:42Z-00023-000	8157 21
9e86b9a2-2019-04-18T14:52:22Z-00003-000	28031 3
b567d838-2019-04-18T12:55:37Z-00005-000	30348 1
