,Topic ID,Model,Rank,Discussion ID,Argument ID,args-id
0,10,DPH,0,15859,4,ffcf93d6-2019-04-18T18:36:12Z-00003-000
1,10,DPH,1,33373,6,d267a8d5-2019-04-18T16:58:41Z-00004-000
2,10,DPH,10,35082,6,174daad7-2019-04-18T18:53:23Z-00004-000
3,10,DPH,11,35082,1,174daad7-2019-04-18T18:53:23Z-00006-000
4,13,DPH,0,15780,3,9f12e0e6-2019-04-18T15:26:02Z-00002-000
5,13,DPH,1,76,1,8e2fdd07-2019-04-18T15:40:20Z-00003-000
6,13,DPH,2,16132,10,d66b8937-2019-04-15T20:22:46Z-00009-000
7,13,DPH,3,27248,1,37a5c33a-2019-04-18T15:23:12Z-00005-000
8,13,DPH,4,31934,2,e81cbf00-2019-04-18T18:44:20Z-00004-000
9,13,DPH,5,25406,2,None
10,13,DPH,6,14866,3,c84d7a92-2019-04-18T13:56:18Z-00003-000
11,13,DPH,7,17839,1,f35758f7-2019-04-18T12:59:35Z-00001-000
12,13,DPH,8,24960,2,dcf28643-2019-04-18T11:33:55Z-00001-000
13,13,DPH,9,15780,2,9f12e0e6-2019-04-18T15:26:02Z-00001-000
14,13,DPH,10,36249,2,f946650-2019-04-18T14:24:24Z-00004-000
15,13,DPH,11,16132,9,d66b8937-2019-04-15T20:22:46Z-00008-000
16,13,DPH,12,29430,4,5d2a077f-2019-04-18T13:59:07Z-00002-000
17,13,DPH,13,15780,4,9f12e0e6-2019-04-18T15:26:02Z-00000-000
18,13,DPH,14,23952,1,30ae541c-2019-04-18T15:18:38Z-00005-000
19,13,DPH,15,40774,3,1c520332-2019-04-18T15:25:04Z-00003-000
20,13,DPH,16,40774,4,e10d3563-2019-04-17T11:47:44Z-00006-000
21,13,DPH,17,34972,1,6e3f713c-2019-04-18T16:02:54Z-00007-000
22,13,DPH,18,29430,9,5d2a077f-2019-04-18T13:59:07Z-00003-000
23,13,DPH,19,40774,5,2e55489a-2019-04-18T14:11:38Z-00002-000
24,13,DPH,20,33106,1,af69c8f7-2019-04-18T14:28:36Z-00006-000
25,13,DPH,21,28242,2,68874881-2019-04-18T13:25:00Z-00003-000
26,13,DPH,22,9418,1,ca07a94-2019-04-18T16:25:14Z-00008-000
27,13,DPH,23,36249,1,dedbd50d-2019-04-18T15:09:04Z-00005-000
28,13,DPH,24,1294,16,f7c81d18-2019-04-15T20:22:46Z-00016-000
29,13,DPH,25,16903,1,717c0448-2019-04-18T14:29:15Z-00003-000
30,13,DPH,26,29430,1,5d2a077f-2019-04-18T13:59:07Z-00008-000
31,13,DPH,27,9307,18,691acc63-2019-04-15T20:23:01Z-00017-000
32,13,DPH,28,40774,2,2e55489a-2019-04-18T14:11:38Z-00003-000
33,13,DPH,29,31311,1,d4c415c0-2019-04-18T17:49:26Z-00002-000
34,13,DPH,30,4279,3,8622c31e-2019-04-18T16:40:07Z-00003-000
35,13,DPH,31,36249,4,dedbd50d-2019-04-18T15:09:04Z-00004-000
36,13,DPH,32,25406,1,e81cbf00-2019-04-18T18:44:20Z-00006-000
37,13,DPH,33,16626,12,a6235621-2019-04-19T12:44:35Z-00016-000
38,13,DPH,34,9926,1,a41b03e0-2019-04-18T13:42:43Z-00005-000
39,13,DPH,35,16132,16,d66b8937-2019-04-15T20:22:46Z-00015-000
40,13,DPH,36,32596,2,f7b00f4-2019-04-18T19:05:00Z-00002-000
41,13,DPH,37,32596,2,f7b00f4-2019-04-18T19:05:00Z-00002-000
42,13,DPH,38,32596,2,f7b00f4-2019-04-18T19:05:00Z-00002-000
43,13,DPH,39,9418,10,ca07a94-2019-04-18T16:25:14Z-00000-000
44,13,DPH,40,34516,3,717c04c4-2019-04-18T13:44:05Z-00004-000
45,13,DPH,41,37288,2,b8b9a6ab-2019-04-18T18:43:27Z-00000-000
46,13,DPH,42,36759,1,8a10581b-2019-04-18T14:18:44Z-00005-000
47,13,DPH,43,24960,3,6fff05ab-2019-04-18T19:53:30Z-00001-000
48,13,DPH,44,9418,6,ca07a94-2019-04-18T16:25:14Z-00007-000
49,13,DPH,45,29430,5,5d2a077f-2019-04-18T13:59:07Z-00000-000
50,13,DPH,46,11221,6,c6d380a8-2019-04-18T14:40:11Z-00004-000
51,13,DPH,47,12226,1,90dc25ac-2019-04-18T12:51:05Z-00002-000
52,13,DPH,48,25325,6,ab7928ea-2019-04-18T13:32:57Z-00008-000
53,13,DPH,49,39109,15,6da2e494-2019-04-15T20:22:30Z-00014-000
54,15,DPH,0,32569,1,3e6f0cf1-2019-04-18T16:00:16Z-00005-000
55,15,DPH,1,1203,8,caa8f692-2019-04-18T11:49:10Z-00006-000
56,15,DPH,2,33362,1,daece536-2019-04-18T15:14:44Z-00005-000
57,15,DPH,3,41457,5,fd98a1f9-2019-04-18T16:36:58Z-00003-000
58,15,DPH,4,31398,10,638d406b-2019-04-18T16:47:38Z-00001-000
59,15,DPH,5,42384,4,ec5a2259-2019-04-18T18:03:25Z-00002-000
60,15,DPH,6,12755,3,da638ba9-2019-04-18T13:02:33Z-00001-000
61,15,DPH,7,12138,2,908ed2cb-2019-04-18T15:35:47Z-00006-000
62,15,DPH,8,1203,32,fd3161b0-2019-04-17T11:47:42Z-00227-000
63,15,DPH,9,12138,5,b1877d43-2019-04-18T11:50:36Z-00007-000
64,15,DPH,10,1203,13,baf99c5b-2019-04-18T13:31:11Z-00001-000
65,15,DPH,11,34716,4,d1ad7ee6-2019-04-18T16:32:59Z-00003-000
66,15,DPH,12,42384,1,ec5a2259-2019-04-18T18:03:25Z-00003-000
67,15,DPH,13,8334,6,61bcb9f0-2019-04-18T15:36:32Z-00007-000
68,15,DPH,14,17204,26,e511ec5-2019-04-19T12:45:01Z-00025-000
69,15,DPH,15,8334,7,61bcb9f0-2019-04-18T15:36:32Z-00005-000
70,15,DPH,16,35713,2,61bcba6c-2019-04-18T15:04:19Z-00004-000
71,15,DPH,17,31398,8,7807c51e-2019-04-18T13:10:08Z-00003-000
72,15,DPH,18,12755,5,da638ba9-2019-04-18T13:02:33Z-00002-000
73,15,DPH,19,35485,9,28e0a6b5-2019-04-18T15:07:33Z-00001-000
74,15,DPH,20,27245,4,fe528ead-2019-04-18T19:20:31Z-00002-000
75,15,DPH,21,2239,1,a56a8385-2019-04-18T16:19:49Z-00004-000
76,15,DPH,22,28147,4,2bce8c52-2019-04-18T19:09:45Z-00004-000
77,15,DPH,23,35485,1,28e0a6b5-2019-04-18T15:07:33Z-00006-000
78,15,DPH,24,7862,7,aac1deac-2019-04-18T11:36:48Z-00001-000
79,15,DPH,25,1264,5,8cce991f-2019-04-18T15:43:14Z-00002-000
80,15,DPH,26,5325,18,119f2027-2019-04-18T18:39:12Z-00003-000
81,15,DPH,27,43662,27,7f023e5c-2019-04-15T20:22:59Z-00026-000
82,15,DPH,28,40693,2,213b4d6-2019-04-18T12:18:23Z-00001-000
83,15,DPH,29,37084,1,59a01e38-2019-04-18T16:38:05Z-00003-000
84,15,DPH,30,11192,7,98931b41-2019-04-18T16:05:52Z-00005-000
85,15,DPH,31,41457,2,989fa427-2019-04-18T19:11:05Z-00002-000
86,15,DPH,32,41457,3,59d17c99-2019-04-18T18:59:14Z-00001-000
87,15,DPH,33,41457,7,fd98a1f9-2019-04-18T16:36:58Z-00001-000
88,15,DPH,34,34716,6,3eced554-2019-04-18T19:30:38Z-00000-000
89,15,DPH,35,41457,6,fd98a1f9-2019-04-18T16:36:58Z-00002-000
90,15,DPH,36,7862,3,d640f8-2019-04-18T15:29:03Z-00002-000
91,15,DPH,37,8056,2,9f5396d0-2019-04-18T15:42:14Z-00003-000
92,15,DPH,38,40055,3,cb3de163-2019-04-19T12:47:22Z-00002-000
93,15,DPH,39,37074,20,b5be6b4d-2019-04-15T20:24:36Z-00019-000
94,15,DPH,40,307,2,be732dfd-2019-04-18T18:58:40Z-00007-000
95,15,DPH,41,19560,2,daececd7-2019-04-18T14:05:34Z-00003-000
96,15,DPH,42,43677,3,a4241bd2-2019-04-18T16:31:04Z-00000-000
97,15,DPH,43,17961,4,61bcb6ca-2019-04-18T16:24:23Z-00003-000
98,15,DPH,44,22741,1,2d219ef-2019-04-17T11:47:47Z-00049-000
