691acc63-2019-04-15T20:23:01Z-00011-000	9307 12
f6d26e83-2019-04-18T16:01:49Z-00002-000	43645 1
53335a7b-2019-04-18T19:16:09Z-00000-000	38732 3
6b3e2015-2019-04-18T12:56:35Z-00004-000	44253 4
8e56b3f-2019-04-18T13:34:45Z-00007-000	12591 1
9f71c585-2019-04-18T19:02:47Z-00007-000	26338 5
c620c250-2019-04-18T13:13:59Z-00005-000	43436 4
e6493c1b-2019-04-18T14:10:12Z-00007-000	9761 1
edc8d078-2019-04-18T12:59:26Z-00000-000	6527 6
5c1ef61f-2019-04-18T15:24:41Z-00007-000	43714 5
e61e60e2-2019-04-18T13:28:51Z-00003-000	35182 4
46a01bc1-2019-04-18T15:49:43Z-00005-000	7165 1
1042e8ce-2019-04-18T13:31:14Z-00002-000	15274 1
1284bea4-2019-04-18T18:47:40Z-00008-000	35676 6
e3bc0ab2-2019-04-18T16:07:14Z-00001-000	21712 7
cd0c01b4-2019-04-18T16:30:34Z-00004-000	1024 4
3bd8c5e1-2019-04-18T13:10:51Z-00008-000	40153 6
dd22a5e1-2019-04-18T16:26:45Z-00005-000	22529 5
72df98a6-2019-04-18T18:58:03Z-00009-000	26893 6
556a5a0e-2019-04-18T13:53:42Z-00001-000	29931 1
ed8762f0-2019-04-18T15:33:01Z-00002-000	34819 2
a1d0c23-2019-04-18T14:20:52Z-00004-000	20300 6
aa1e977a-2019-04-18T19:56:22Z-00004-000	40069 3
b94e9d7f-2019-04-18T18:57:03Z-00005-000	29841 4
762baa1e-2019-04-18T13:21:14Z-00003-000	11309 4
ec4c4ca5-2019-04-18T14:33:16Z-00001-000	9597 4
e3bc0029-2019-04-18T16:43:23Z-00003-000	11794 2
aa1e977a-2019-04-18T19:56:22Z-00002-000	40069 4
4ad44663-2019-04-15T20:24:48Z-00016-000	14437 17
6a11307c-2019-04-18T15:13:55Z-00004-000	44381 4
c1373988-2019-04-18T13:27:24Z-00004-000	1364 1
3b73d45e-2019-04-19T12:44:32Z-00008-000	17396 9
81901837-2019-04-18T17:55:43Z-00001-000	17668 5
1284bea4-2019-04-18T18:47:40Z-00000-000	35676 10
e03e7a04-2019-04-18T14:42:05Z-00007-000	17472 6
12148574-2019-04-18T14:19:18Z-00005-000	33672 1
16666c34-2019-04-19T12:45:14Z-00045-000	32262 46
869af6cc-2019-04-19T12:47:53Z-00012-000	38422 13
89e52114-2019-04-17T11:47:41Z-00076-000	34949 72
5986c100-2019-04-18T13:20:46Z-00002-000	44344 5
632d6d43-2019-04-18T12:57:22Z-00002-000	35373 2
8540ae31-2019-04-18T14:07:50Z-00001-000	37704 1
cea53ba4-2019-04-18T14:44:38Z-00005-000	43487 1
489223eb-2019-04-18T13:09:06Z-00002-000	8438 5
ce7f5699-2019-04-19T12:45:21Z-00010-000	13856 11
86fca776-2019-04-18T16:43:10Z-00007-000	23885 7
5779be30-2019-04-18T13:27:20Z-00004-000	41465 1
2ef950c4-2019-04-18T16:33:51Z-00000-000	5565 3
16666c34-2019-04-19T12:45:14Z-00046-000	32262 47
7e60a5d4-2019-04-18T15:49:08Z-00005-000	11970 4
2abd620-2019-04-18T12:50:32Z-00004-000	31919 4
cea53ba4-2019-04-18T14:44:38Z-00004-000	43487 6
ce7f5699-2019-04-19T12:45:21Z-00007-000	13856 8
299fbc20-2019-04-19T12:46:38Z-00002-000	42698 3
5c1ef61f-2019-04-18T15:24:41Z-00001-000	43714 8
c6c31c36-2019-04-18T15:19:47Z-00003-000	40306 1
632d6d43-2019-04-18T12:57:22Z-00004-000	35373 1
81019284-2019-04-18T14:31:26Z-00003-000	20869 4
f0e7dcd0-2019-04-18T12:51:22Z-00001-000	17103 1
ce7f5699-2019-04-19T12:45:21Z-00026-000	13856 27
d52c01c6-2019-04-18T15:49:54Z-00007-000	16297 1
4c5da6ef-2019-04-18T12:54:27Z-00004-000	35254 4
c183b9ff-2019-04-18T12:53:55Z-00001-000	33830 3
a6235621-2019-04-19T12:44:35Z-00012-000	16626 8
a1d0c23-2019-04-18T14:20:52Z-00006-000	20300 1
adb117f7-2019-04-19T12:44:05Z-00005-000	12549 6
89e52114-2019-04-17T11:47:41Z-00079-000	34949 75
b373631f-2019-04-18T12:59:00Z-00006-000	3745 1
f91bcb56-2019-04-18T14:41:06Z-00003-000	549 2
699b6134-2019-04-19T12:44:08Z-00007-000	30330 8
48fd165c-2019-04-18T16:25:48Z-00009-000	18560 1
480d5f00-2019-04-18T17:09:34Z-00003-000	14826 1
3b73d45e-2019-04-19T12:44:32Z-00001-000	17396 2
39352d62-2019-04-19T12:45:34Z-00009-000	4806 10
489223eb-2019-04-18T13:09:06Z-00000-000	8438 6
61f8dc89-2019-04-18T17:32:49Z-00003-000	24917 1
31bd8ba3-2019-04-18T12:58:02Z-00000-000	41652 2
515f0490-2019-04-18T13:52:41Z-00002-000	4752 2
689e8f9a-2019-04-18T14:08:42Z-00001-000	43858 2
a0c86b8a-2019-04-18T15:55:18Z-00004-000	16393 8
9860f93c-2019-04-17T11:47:22Z-00034-000	9253 3
90bdd4aa-2019-04-18T18:38:03Z-00004-000	32662 6
3bd8c5e1-2019-04-18T13:10:51Z-00002-000	40153 9
e5ccda7-2019-04-17T11:47:44Z-00046-000	27905 47
a6235621-2019-04-19T12:44:35Z-00013-000	16626 9
12fc6c09-2019-04-18T13:30:20Z-00002-000	1078 2
ea6e1c46-2019-04-18T18:28:24Z-00006-000	14510 6
4d3852ce-2019-04-18T18:53:13Z-00009-000	19652 1
