9860f93c-2019-04-17T11:47:22Z-00032-000	9253 1
31f5da82-2019-04-17T11:47:27Z-00027-000	27258 28
946d6366-2019-04-18T17:25:13Z-00003-000	22687 1
9fc251b2-2019-04-18T18:05:39Z-00001-000	23730 3
31f5da82-2019-04-17T11:47:27Z-00026-000	27258 31
31f5da82-2019-04-17T11:47:27Z-00030-000	27258 31
5520ff9a-2019-04-15T20:22:42Z-00000-000	3539 2
5520ff9a-2019-04-15T20:22:42Z-00001-000	3539 2
5520ff9a-2019-04-15T20:22:42Z-00002-000	3539 2
225aac4b-2019-04-18T13:29:40Z-00004-000	43417 2
85c7af39-2019-04-18T12:54:07Z-00007-000	21308 5
89aaccc9-2019-04-18T14:32:40Z-00005-000	20799 2
ed87638b-2019-04-18T15:23:00Z-00005-000	10684 8
b3457e71-2019-04-18T18:11:08Z-00007-000	28227 2
fbb2201b-2019-04-18T19:20:40Z-00005-000	4472 1
fbfb1686-2019-04-18T16:33:24Z-00005-000	28563 1
7a67d341-2019-04-18T14:19:31Z-00000-000	47 2
b3457e52-2019-04-18T18:41:53Z-00005-000	3490 2
2abd65e-2019-04-18T12:50:17Z-00004-000	27571 3
4c5da6b1-2019-04-18T12:58:07Z-00005-000	4121 1
4c5da692-2019-04-18T12:58:47Z-00005-000	4121 1
4c5da673-2019-04-18T12:58:49Z-00002-000	4121 1
4c5da6ef-2019-04-18T12:54:27Z-00005-000	35254 1
31f5da82-2019-04-17T11:47:27Z-00048-000	27258 49
17fefda-2019-04-18T13:20:44Z-00000-000	19421 10
7ca80ecc-2019-04-18T19:16:04Z-00006-000	36079 1
5520ff9a-2019-04-15T20:22:42Z-00000-000	3539 3
5520ff9a-2019-04-15T20:22:42Z-00001-000	3539 3
5520ff9a-2019-04-15T20:22:42Z-00002-000	3539 3
1284bea4-2019-04-18T18:47:40Z-00009-000	35676 1
195f22e7-2019-04-18T18:47:16Z-00006-000	35676 1
7adc552a-2019-04-18T13:00:50Z-00003-000	2439 2
1420e340-2019-04-18T13:12:04Z-00007-000	33687 1
341863b5-2019-04-18T13:52:10Z-00002-000	30322 4
b567d75f-2019-04-18T12:56:12Z-00005-000	6221 1
e5ccda7-2019-04-17T11:47:44Z-00062-000	27905 63
5beb1ab2-2019-04-18T12:54:20Z-00005-000	26112 1
e03e7a61-2019-04-18T14:37:03Z-00007-000	34904 5
f9097cbd-2019-04-15T20:24:10Z-00009-000	12801 10
70b2b740-2019-04-15T20:22:42Z-00017-000	8157 15
5e002cb8-2019-04-18T16:17:02Z-00003-000	40412 9
54f428b3-2019-04-18T14:31:22Z-00004-000	34140 1
99480ff3-2019-04-18T16:15:59Z-00002-000	9796 2
5779be30-2019-04-18T13:27:20Z-00000-000	41465 3
89e52114-2019-04-17T11:47:41Z-00064-000	34949 60
6065748e-2019-04-18T18:38:21Z-00000-000	2021 6
195f22e7-2019-04-18T18:47:16Z-00005-000	14397 6
e03e7a04-2019-04-18T14:42:05Z-00008-000	42670 1
e03e7a42-2019-04-18T14:35:21Z-00009-000	42670 1
