59341372-2019-04-18T16:15:21Z-00002-000	10759 2
b44adae-2019-04-18T13:45:56Z-00007-000	32440 1
98866051-2019-04-18T18:29:52Z-00006-000	24173 5
f2cac0b5-2019-04-18T16:06:26Z-00004-000	20935 2
173e9f20-2019-04-18T13:26:12Z-00001-000	11317 2
cd8abfbd-2019-04-18T17:04:37Z-00005-000	8542 7
7729e8b4-2019-04-19T12:45:07Z-00015-000	3922 16
3b7bed50-2019-04-18T14:13:25Z-00006-000	38753 6
9860f93c-2019-04-17T11:47:22Z-00033-000	9253 2
ca2aacb0-2019-04-18T19:03:17Z-00000-000	20073 3
515f0490-2019-04-18T13:52:41Z-00004-000	4752 1
13d19ccf-2019-04-18T13:58:59Z-00000-000	19836 5
c6c31c36-2019-04-18T15:19:47Z-00002-000	40306 3
90bdd4aa-2019-04-18T18:38:03Z-00007-000	32662 1
7ba4df4a-2019-04-18T12:56:46Z-00003-000	40654 2
5986c100-2019-04-18T13:20:46Z-00004-000	44344 4
6a304d9c-2019-04-18T16:59:34Z-00004-000	44173 7
7f863ae5-2019-04-18T13:50:59Z-00005-000	23138 6
b5e88b26-2019-04-18T16:29:20Z-00005-000	36432 7
797b35ea-2019-04-18T14:50:47Z-00002-000	34474 7
2aef9f36-2019-04-15T20:22:21Z-00012-000	3343 13
cd8abfdc-2019-04-18T17:04:45Z-00003-000	8542 9
8d6fc705-2019-04-18T15:09:03Z-00006-000	21778 2
f351687c-2019-04-18T12:56:52Z-00004-000	28969 6
8906c1ae-2019-04-18T16:24:58Z-00009-000	2270 6
ccd5e2cf-2019-04-18T13:04:04Z-00003-000	4167 1
5efff4d3-2019-04-18T13:32:58Z-00005-000	32178 1
5520ff9a-2019-04-15T20:22:42Z-00016-000	3539 14
fa052a6b-2019-04-18T18:58:32Z-00005-000	19731 2
766c81cc-2019-04-15T20:24:27Z-00007-000	33655 8
b567d819-2019-04-18T12:55:25Z-00005-000	16493 1
b567d7db-2019-04-18T12:55:48Z-00005-000	16493 1
3682d256-2019-04-18T13:37:27Z-00003-000	21655 1
28ad608b-2019-04-18T18:47:01Z-00002-000	4209 9
632d6d43-2019-04-18T12:57:22Z-00001-000	35373 5
cd8abfbd-2019-04-18T17:04:37Z-00003-000	8542 8
17fefda-2019-04-18T13:20:44Z-00007-000	19421 2
7c8b175c-2019-04-18T15:27:03Z-00005-000	13538 1
7e60a5d4-2019-04-18T15:49:08Z-00003-000	11970 5
691acc63-2019-04-15T20:23:01Z-00022-000	9307 23
