6065748e-2019-04-18T18:38:21Z-00000-000	2021 6
16666c34-2019-04-19T12:45:14Z-00046-000	32262 47
f9097cbd-2019-04-15T20:24:10Z-00009-000	12801 10
90bdd4aa-2019-04-18T18:38:03Z-00006-000	32662 5
63356ea3-2019-04-18T13:22:32Z-00005-000	30335 5
c948fdc-2019-04-18T13:36:26Z-00009-000	42502 1
4ad44663-2019-04-15T20:24:48Z-00025-000	14437 26
fe7366cf-2019-04-18T18:50:18Z-00002-000	24709 5
4c5da673-2019-04-18T12:58:49Z-00002-000	4121 1
48d1e746-2019-04-18T14:56:42Z-00003-000	30892 1
46a01bc1-2019-04-18T15:49:43Z-00005-000	7165 1
ce7f5699-2019-04-19T12:45:21Z-00010-000	13856 11
b3457e52-2019-04-18T18:41:53Z-00005-000	3490 2
133713bb-2019-04-18T19:02:54Z-00003-000	39326 1
5c1ef61f-2019-04-18T15:24:41Z-00001-000	43714 8
adb117f7-2019-04-19T12:44:05Z-00005-000	12549 6
b235f67a-2019-04-18T15:13:16Z-00004-000	14436 4
b567d819-2019-04-18T12:55:25Z-00005-000	30430 1
17fefda-2019-04-18T13:20:44Z-00002-000	19421 9
66aa873d-2019-04-18T18:51:36Z-00005-000	10165 7
ca2aacb0-2019-04-18T19:03:17Z-00003-000	20073 5
12148574-2019-04-18T14:19:18Z-00005-000	33672 1
af83a7e2-2019-04-19T12:44:04Z-00007-000	3882 8
f34bcbed-2019-04-18T14:27:46Z-00000-000	39756 3
70b2b740-2019-04-15T20:22:42Z-00017-000	8157 15
480d5f00-2019-04-18T17:09:34Z-00002-000	14826 3
3682d256-2019-04-18T13:37:27Z-00003-000	21655 1
5ffcbc12-2019-04-18T14:32:16Z-00007-000	21222 1
fbfb1686-2019-04-18T16:33:24Z-00005-000	28563 1
691acc63-2019-04-15T20:23:01Z-00022-000	9307 23
7e60a5d4-2019-04-18T15:49:08Z-00003-000	11970 5
ce7f5699-2019-04-19T12:45:21Z-00007-000	13856 8
515f0490-2019-04-18T13:52:41Z-00002-000	4752 2
16666c34-2019-04-19T12:45:14Z-00031-000	32262 32
28ad608b-2019-04-18T18:47:01Z-00002-000	4209 9
5efff4d3-2019-04-18T13:32:58Z-00005-000	32178 1
9f71c585-2019-04-18T19:02:47Z-00007-000	26338 5
16666c34-2019-04-19T12:45:14Z-00045-000	32262 46
6702bd00-2019-04-18T17:57:26Z-00007-000	8865 1
ab74e836-2019-04-18T13:43:42Z-00006-000	39872 1
5986c100-2019-04-18T13:20:46Z-00005-000	44344 1
407b211c-2019-04-18T18:31:01Z-00004-000	11698 4
dd22a5e1-2019-04-18T16:26:45Z-00005-000	22529 5
489223eb-2019-04-18T13:09:06Z-00002-000	8438 5
5986c100-2019-04-18T13:20:46Z-00004-000	44344 4
aa1e977a-2019-04-18T19:56:22Z-00004-000	40069 3
cb3acdd6-2019-04-18T16:57:26Z-00002-000	18069 2
53335a7b-2019-04-18T19:16:09Z-00004-000	38732 1
b91d4292-2019-04-18T13:39:18Z-00008-000	33560 6
a8646f6a-2019-04-18T14:06:06Z-00001-000	19413 2
299fbc20-2019-04-19T12:46:38Z-00002-000	42698 3
a0c86b8a-2019-04-18T15:55:18Z-00004-000	16393 8
825e2c01-2019-04-18T17:53:57Z-00001-000	9245 3
7c8b175c-2019-04-18T15:27:03Z-00005-000	13538 1
39352d62-2019-04-19T12:45:34Z-00009-000	4806 10
13d19ccf-2019-04-18T13:58:59Z-00000-000	19836 5
5520ff9a-2019-04-15T20:22:42Z-00016-000	3539 14
91e50077-2019-04-18T15:53:42Z-00000-000	38290 4
e6493c1b-2019-04-18T14:10:12Z-00007-000	9761 1
61f8dce6-2019-04-18T16:30:14Z-00005-000	26426 1
3bd8c5e1-2019-04-18T13:10:51Z-00002-000	40153 9
ea6e1c46-2019-04-18T18:28:24Z-00006-000	14510 6
12fc6c09-2019-04-18T13:30:20Z-00002-000	1078 2
3b867dfe-2019-04-15T20:22:42Z-00019-000	44232 20
a6235621-2019-04-19T12:44:35Z-00008-000	16626 4
e5ccda7-2019-04-17T11:47:44Z-00046-000	27905 47
ab74e7d9-2019-04-18T15:43:14Z-00000-000	38520 3
3b73d45e-2019-04-19T12:44:32Z-00001-000	17396 2
c6c31c36-2019-04-18T15:19:47Z-00003-000	40306 1
a6458ad5-2019-04-18T14:29:07Z-00003-000	6793 3
4c5da6ef-2019-04-18T12:54:27Z-00005-000	35254 1
33964227-2019-04-18T13:13:58Z-00006-000	1409 7
1042e8ce-2019-04-18T13:31:14Z-00002-000	15274 1
1d4dd2b5-2019-04-18T18:48:02Z-00003-000	32207 1
699b6134-2019-04-19T12:44:08Z-00007-000	30330 8
886a5d30-2019-04-18T14:48:46Z-00002-000	14571 2
b1a437ad-2019-04-18T13:04:58Z-00001-000	8196 1
db49fdec-2019-04-18T14:34:53Z-00008-000	26191 1
ce7f5699-2019-04-19T12:45:21Z-00026-000	13856 27
e5ccda7-2019-04-17T11:47:44Z-00062-000	27905 63
2540d7ca-2019-04-18T19:27:56Z-00003-000	13119 5
cd8abfbd-2019-04-18T17:04:37Z-00007-000	8542 6
1284bea4-2019-04-18T18:47:40Z-00008-000	35676 6
